ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000113140	4.56959738810185	23.7457494955844	3.6150633351842	39.4435869067596	1.30395755052497e-14	2.62238902986077e-10	21.3694118357645
ENSG00000163347	-4.65916956357241	-25.2667738673146	3.1678010697596	-33.445498059199	1.02905372051573e-13	1.03476496866459e-09	20.1297366458339
ENSG00000136026	4.62423925273585	24.6623650698524	6.63664019777495	30.3926954866837	3.40149851352905e-13	2.28025122018609e-09	19.3319329579365
ENSG00000173369	-5.47748920239073	-44.5541898245924	6.11922832082092	-26.9113035611933	1.5480651150567e-12	7.7832843822263e-09	18.2408660069822
ENSG00000179542	1.70603167603346	3.26262160718976	3.00601355508957	21.3057631100628	2.78971485507531e-11	1.12207910900839e-07	15.9366969507379
ENSG00000147571	4.68362724167083	25.6987670838121	3.66883531441892	20.6034687410787	4.21404411899281e-11	1.17136846500374e-07	15.5869309466858
ENSG00000197506	5.50039030311142	45.2670787819096	3.37631027993304	20.5079999908834	4.46165771292722e-11	1.17136846500374e-07	15.5381397512764
ENSG00000140526	2.69826864817154	6.4902256946958	7.67333081095787	20.4356940438114	4.65961300782154e-11	1.17136846500374e-07	15.5009831283705
ENSG00000115457	4.90407863625486	29.9415838970212	3.09448588693315	20.158391989001	5.51118498789359e-11	1.18507017123914e-07	15.3568376649334
ENSG00000163328	-2.79057916499967	-6.91907493201456	4.36536886971651	-20.0488174943694	5.89264666719279e-11	1.18507017123914e-07	15.2991501832574
ENSG00000205403	-3.62504274388717	-12.33805214725	2.23029010344616	-19.8197015443735	6.7853506738572e-11	1.24054715819947e-07	15.1771689380629
ENSG00000172216	2.4098276724673	5.31410845702197	12.3035983219986	19.0211972094116	1.1230942213538e-10	1.75060782998823e-07	14.7371801768666
ENSG00000124731	6.84904276769263	115.283542870453	7.89991649293931	19.0094539343304	1.13161462830526e-10	1.75060782998823e-07	14.7305316363244
ENSG00000162746	4.32432842847976	20.0333033863853	5.48142267090203	18.7442514984127	1.34380271897041e-10	1.930372605801e-07	14.5789676822664
ENSG00000064763	4.02575517316787	16.2881988375895	6.78521395391363	18.570744028261	1.50557686677208e-10	1.97262727372393e-07	14.4783180275464
ENSG00000137331	-5.09303074184948	-34.1314722736552	8.04715869624837	-18.5077560893208	1.5693916950715e-10	1.97262727372393e-07	14.4414834285128
ENSG00000154262	-6.13414716060721	-70.2364080314394	3.49578567288083	-18.3250492670836	1.77154279779888e-10	2.09573512979607e-07	14.3337349401746
ENSG00000109089	-4.36581268999054	-20.617717045573	3.95322988737365	-17.8790690657251	2.39264394115477e-10	2.67324790558687e-07	14.0649575001414
ENSG00000019186	5.32093417732905	39.9724522442129	4.69414010303938	17.4560106493378	3.20275033437649e-10	3.39002694603398e-07	13.8021770070478
ENSG00000164047	6.42451931362245	85.896016024629	5.40076722564935	16.9365871117974	4.62338284243218e-10	4.64904261720768e-07	13.4686599515559
ENSG00000095585	-3.16808326452593	-8.98851797774568	5.72315235756491	-16.6537439623677	5.67132831906447e-10	5.43124208689075e-07	13.2818023517524
ENSG00000077063	-6.02714303459477	-65.2155019903923	4.38234582035258	-16.3696598949286	6.98560451325428e-10	6.27166705996816e-07	13.0902663677181
ENSG00000137819	1.4278135398593	2.69038667737361	2.04993505049202	16.3339717979788	7.17260913824611e-10	6.27166705996816e-07	13.0659257217091
ENSG00000113070	4.9361206450248	30.6140210420246	7.6912204812431	16.0881603452118	8.61649793151319e-10	7.22026624586091e-07	12.8965495198095
ENSG00000102970	-6.74283924027604	-107.101824026272	8.41384943982461	-15.8001254179622	1.07174976751486e-09	8.62158382979658e-07	12.6941752512946
ENSG00000120256	-3.23001424120513	-9.38277221309922	2.65767979112934	-15.7258179772365	1.13447694838988e-09	8.77517919579574e-07	12.6412687991741
ENSG00000179362	3.42107778527464	10.711419564052	3.77512779941379	15.5064321723352	1.34385064202896e-09	1.00096963932757e-06	12.4833640689348
ENSG00000067082	-1.98824128820584	-3.96753042994633	8.53266633538794	-15.3691461534392	1.49576007897452e-09	1.07432967672345e-06	12.3832375163756
ENSG00000116127	-2.82628765715631	-7.0924676108138	3.92450268174259	-15.2617603001255	1.62744408141627e-09	1.11979936031196e-06	12.304201641948
ENSG00000136630	-2.32225012621667	-5.00111620011152	6.82330854038565	-15.2278557428264	1.67156802432409e-09	1.11979936031196e-06	12.2791160484465
ENSG00000134107	1.5301143898979	2.88808737562852	8.46796624555414	15.1872525579348	1.7261091029621e-09	1.11979936031196e-06	12.248990405737
ENSG00000163599	-1.32562163724748	-2.50640862125761	2.10214664715424	-15.0961408592459	1.85558706992962e-09	1.16617848635483e-06	12.1810554372172
ENSG00000171867	2.06673386652265	4.18937162511562	9.41049251093682	14.8160312828331	2.3234772945173e-09	1.41598339000113e-06	11.9692596483298
ENSG00000114268	2.26225969370211	4.7974231421916	4.73171982522966	14.3282650295256	3.46912531577374e-09	2.0501292288998e-06	11.5895345071709
ENSG00000077984	-2.79565832844958	-6.94347721158466	3.87787155323294	-14.2628076610863	3.66423558659032e-09	2.0501292288998e-06	11.5374888167756
ENSG00000103485	-4.06156600703511	-16.6975671043292	5.52173566651123	-14.2609751012557	3.66986486203534e-09	2.0501292288998e-06	11.5360279567479
ENSG00000105472	2.28798723605385	4.88374284258015	3.04074322310949	14.2042591377625	3.84876271471143e-09	2.09195856636653e-06	11.4907135867694
ENSG00000143546	8.68604283560567	411.869314708759	8.73653475666467	13.995203728941	4.59361441329463e-09	2.3702325811918e-06	11.3219585082395
ENSG00000109113	1.33656706738158	2.52549654375168	8.66881974646162	13.9944810517362	4.59644327315798e-09	2.3702325811918e-06	11.3213703885888
ENSG00000106665	-2.89748004056593	-7.45123746175485	4.13686770720651	-13.859277692993	5.16011563332064e-09	2.59437713754279e-06	11.2107572005047
ENSG00000122378	4.45090562483436	21.8703685148719	4.54211718823407	13.7269841354946	5.7841233769802e-09	2.83718305449875e-06	11.1013893529136
ENSG00000165140	2.66063499595058	6.32311297320161	11.1993258213758	13.5915698433129	6.50765031820767e-09	3.08013980334379e-06	10.9882612596331
ENSG00000167702	-1.92947176267825	-3.80915702840083	4.43978900047653	-13.5773683211929	6.58898338107017e-09	3.08013980334379e-06	10.9763270895408
ENSG00000260837	-1.50838127836673	-2.84490657950358	2.46448696083671	-13.5516770491635	6.73890663552916e-09	3.08013980334379e-06	10.9547036335708
ENSG00000137491	-4.62198296436213	-24.6238247577023	3.67921859337435	-13.4354696676179	7.46432652665001e-09	3.3358904617213e-06	10.8563466760751
ENSG00000197724	-1.39683007551978	-2.63322367772574	6.84362976328149	-13.260215001974	8.72157691995632e-09	3.81303550950525e-06	10.7062910104166
ENSG00000059573	2.45975943625827	5.50124988422608	3.47192078479278	13.2171005488093	9.06455191421268e-09	3.8786639052496e-06	10.6690544640614
ENSG00000179222	2.17942932222846	4.52974338475001	4.62839114099243	13.1917206710248	9.27319923640486e-09	3.88527728840288e-06	10.6470748208692
ENSG00000158473	4.01175094340734	16.130854322175	7.76426120092508	13.0280434905146	1.07490359086058e-08	4.39245321256608e-06	10.5042509565097
ENSG00000121933	-2.47146929990497	-5.54608335631874	3.37676380311922	-13.0106075234886	1.09205241225351e-08	4.39245321256608e-06	10.4889258477542
ENSG00000072778	1.36761905004046	2.5804435134964	8.80454898376975	12.9334462279159	1.17154839211383e-08	4.61980582623555e-06	10.4208478731543
ENSG00000123453	1.44552922854861	2.72362716684381	2.745838840346	12.8668853631408	1.24512243269704e-08	4.81551100845582e-06	10.3617821359263
